user_id,loginEmail,userEmail,name,role
1,kakao_4680@kakao.com,user4302@gmail.com,신서현,USER
2,kakao_6372@kakao.com,user1822@gmail.com,황서연,USER
3,kakao_7439@kakao.com,user7165@gmail.com,김민수,USER
4,kakao_8277@kakao.com,user5923@gmail.com,송민수,USER
5,kakao_7737@kakao.com,user8774@gmail.com,권상민,USER
6,kakao_1327@kakao.com,user8993@gmail.com,장민수,USER
7,kakao_3594@kakao.com,user1615@gmail.com,안정은,ADMIN
8,kakao_3853@kakao.com,user4373@gmail.com,안유정,ADMIN
9,kakao_7374@kakao.com,user3792@gmail.com,조가영,ADMIN
10,kakao_9996@kakao.com,user6378@gmail.com,한서현,ADMIN
11,kakao_1015@kakao.com,user8872@gmail.com,전도윤,USER
12,kakao_7776@kakao.com,user8700@gmail.com,한화경,USER
13,kakao_7659@kakao.com,user5017@gmail.com,정현우,ADMIN
14,kakao_4705@kakao.com,user6161@gmail.com,서지원,USER
15,kakao_1972@kakao.com,user5474@gmail.com,오현우,ADMIN
16,kakao_3971@kakao.com,user9469@gmail.com,강하윤,USER
17,kakao_6684@kakao.com,user4462@gmail.com,홍지원,USER
18,kakao_3074@kakao.com,user7909@gmail.com,홍지민,ADMIN
19,kakao_8159@kakao.com,user5760@gmail.com,장유정,ADMIN
20,kakao_3063@kakao.com,user1571@gmail.com,서서연,ADMIN
21,kakao_4427@kakao.com,user7607@gmail.com,유서현,USER
22,kakao_3222@kakao.com,user4209@gmail.com,오도윤,USER
23,kakao_1393@kakao.com,user1914@gmail.com,송동혁,ADMIN
24,kakao_3049@kakao.com,user2199@gmail.com,서서연,ADMIN
25,kakao_5661@kakao.com,user1834@gmail.com,송지민,USER
26,kakao_8196@kakao.com,user2999@gmail.com,최유정,ADMIN
27,kakao_7854@kakao.com,user2617@gmail.com,홍화경,ADMIN
28,kakao_2651@kakao.com,user8643@gmail.com,홍화경,USER
29,kakao_3055@kakao.com,user1302@gmail.com,윤혜정,USER
30,kakao_2237@kakao.com,user5389@gmail.com,최화경,ADMIN
31,kakao_5881@kakao.com,user7600@gmail.com,안상민,ADMIN
32,kakao_8835@kakao.com,user5730@gmail.com,서하윤,ADMIN
33,kakao_5485@kakao.com,user8455@gmail.com,이동혁,ADMIN
34,kakao_8619@kakao.com,user4266@gmail.com,장동혁,USER
35,kakao_3125@kakao.com,user6745@gmail.com,조영희,USER
36,kakao_4370@kakao.com,user9923@gmail.com,장동혁,USER
37,kakao_8418@kakao.com,user5019@gmail.com,윤민기,ADMIN
38,kakao_1671@kakao.com,user2145@gmail.com,조현우,USER
39,kakao_4108@kakao.com,user6579@gmail.com,송정은,ADMIN
40,kakao_7486@kakao.com,user8092@gmail.com,전유정,USER
41,kakao_6628@kakao.com,user5053@gmail.com,조하윤,ADMIN
42,kakao_4967@kakao.com,user4440@gmail.com,강민수,USER
43,kakao_9754@kakao.com,user4319@gmail.com,조서현,USER
44,kakao_9847@kakao.com,user2042@gmail.com,조화경,ADMIN
45,kakao_2666@kakao.com,user6632@gmail.com,전하윤,USER
46,kakao_3597@kakao.com,user4212@gmail.com,윤정은,USER
47,kakao_4464@kakao.com,user7726@gmail.com,윤도윤,ADMIN
48,kakao_8989@kakao.com,user1891@gmail.com,전지민,ADMIN
49,kakao_2158@kakao.com,user3922@gmail.com,이지민,USER
